(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
(21, 11, 32, 22, 21, 25, 7)
